2022-09-19 17:17:24.943 INFO  [scheduling-1] ru.itm.bkdb.controllers.UpdateController Line:222 - response.hasBody() && response.getBody() == 1 -> true
2022-09-19 17:17:24.947 INFO  [scheduling-1] ru.itm.bkdb.controllers.UpdateController Line:179 - data is write in server
2022-09-19 17:17:24.958 INFO  [scheduling-1] ru.itm.bkdb.controllers.UpdateController Line:187 - Table 'trans_fuel' is cleaned.
2022-09-19 17:22:25.344 INFO  [scheduling-1] ru.itm.bkdb.controllers.UpdateController Line:222 - response.hasBody() && response.getBody() == 1 -> true
2022-09-19 17:22:25.348 INFO  [scheduling-1] ru.itm.bkdb.controllers.UpdateController Line:179 - data is write in server
2022-09-19 17:22:25.360 INFO  [scheduling-1] ru.itm.bkdb.controllers.UpdateController Line:187 - Table 'trans_fuel' is cleaned.
2022-09-19 17:27:25.631 INFO  [scheduling-1] ru.itm.bkdb.controllers.UpdateController Line:222 - response.hasBody() && response.getBody() == 1 -> true
2022-09-19 17:27:25.634 INFO  [scheduling-1] ru.itm.bkdb.controllers.UpdateController Line:179 - data is write in server
2022-09-19 17:27:25.657 INFO  [scheduling-1] ru.itm.bkdb.controllers.UpdateController Line:187 - Table 'trans_fuel' is cleaned.
2022-09-19 17:32:25.985 INFO  [scheduling-1] ru.itm.bkdb.controllers.UpdateController Line:222 - response.hasBody() && response.getBody() == 1 -> true
2022-09-19 17:32:26.007 INFO  [scheduling-1] ru.itm.bkdb.controllers.UpdateController Line:179 - data is write in server
2022-09-19 17:32:26.038 INFO  [scheduling-1] ru.itm.bkdb.controllers.UpdateController Line:187 - Table 'trans_fuel' is cleaned.
2022-09-19 17:37:26.450 INFO  [scheduling-1] ru.itm.bkdb.controllers.UpdateController Line:222 - response.hasBody() && response.getBody() == 1 -> true
2022-09-19 17:37:26.453 INFO  [scheduling-1] ru.itm.bkdb.controllers.UpdateController Line:179 - data is write in server
2022-09-19 17:37:26.464 INFO  [scheduling-1] ru.itm.bkdb.controllers.UpdateController Line:187 - Table 'trans_fuel' is cleaned.
2022-09-19 17:42:26.776 INFO  [scheduling-1] ru.itm.bkdb.controllers.UpdateController Line:222 - response.hasBody() && response.getBody() == 1 -> true
2022-09-19 17:42:26.780 INFO  [scheduling-1] ru.itm.bkdb.controllers.UpdateController Line:179 - data is write in server
2022-09-19 17:42:26.812 INFO  [scheduling-1] ru.itm.bkdb.controllers.UpdateController Line:187 - Table 'trans_fuel' is cleaned.
2022-09-19 17:47:27.144 INFO  [scheduling-1] ru.itm.bkdb.controllers.UpdateController Line:222 - response.hasBody() && response.getBody() == 1 -> true
2022-09-19 17:47:27.149 INFO  [scheduling-1] ru.itm.bkdb.controllers.UpdateController Line:179 - data is write in server
2022-09-19 17:47:27.182 INFO  [scheduling-1] ru.itm.bkdb.controllers.UpdateController Line:187 - Table 'trans_fuel' is cleaned.
2022-09-19 17:52:27.650 INFO  [scheduling-1] ru.itm.bkdb.controllers.UpdateController Line:222 - response.hasBody() && response.getBody() == 1 -> true
2022-09-19 17:52:27.653 INFO  [scheduling-1] ru.itm.bkdb.controllers.UpdateController Line:179 - data is write in server
2022-09-19 17:52:27.661 INFO  [scheduling-1] ru.itm.bkdb.controllers.UpdateController Line:187 - Table 'trans_fuel' is cleaned.
